text,categories,word_type,frame_fit,number,bnc_pos,wordnet_pos,noun_supersense,n_words
stabbing,care.vice,gerund,True,singular,Verb:2,a|v,,1
rapist,care.vice,noun,False,singular,,n,noun.person,1
harasser,care.vice,noun,False,singular,,n,noun.person,1
hungers,care.vice,verb,False,,,n|v,noun.state,1
hunger,care.vice,noun,True,singular,NoC:22,n|v,noun.state,1
molesting,care.vice,gerund,True,singular,,v,,1
rape,care.vice,noun,False,singular,NoC:39,n|v,noun.plant,1
molesters,care.vice,noun,True,plural,,n,noun.person,1
punched,care.vice,verb,False,,,v,,1
violence,care.vice,noun,True,singular,NoC:112,n,noun.act,1
distressingly,care.vice,adverb,False,,,r,,1
molester,care.vice,noun,False,singular,,n,noun.person,1
stabbers,care.vice,noun,True,plural,,n,noun.person,1
neediness,care.vice,noun,True,singular,,n,noun.state,1
assassinate,care.vice,verb,False,,,v,,1
agonizingly,care.vice,adverb,False,,,r,,1
tribulations,care.vice,noun,True,plural,,n,noun.event,1
unhelpfulness,care.vice,noun,True,singular,,n,noun.attribute,1
assaulter,care.vice,noun,False,singular,,n,noun.person,1
puncher,care.vice,noun,False,singular,,n,noun.person,1
punching,care.vice,gerund,True,singular,,v,,1
rapes,care.vice,noun,True,plural,NoC:1,n|v,noun.plant,1
genocides,care.vice,noun,True,plural,,n,noun.act,1
attackers,care.vice,noun,True,plural,,n,noun.person,1
tormentor,care.vice,noun,False,singular,,n,noun.person,1
assassinations,care.vice,noun,True,plural,,n,noun.communication,1
destroyers,care.vice,noun,True,plural,,n,noun.artifact,1
punchers,care.vice,noun,True,plural,,n,noun.person,1
sorrows,care.vice,noun,True,plural,,n|v,noun.feeling,1
tormenter,care.vice,noun,False,singular,,n,noun.person,1
threateningly,care.vice,adverb,False,,,r,,1
murder,care.vice,noun,True,singular,NoC:114|Verb:29,n|v,noun.act,1
destroyer,care.vice,noun,False,singular,,n,noun.artifact,1
assassinating,care.vice,gerund,True,singular,,v,,1
crier,care.vice,noun,False,singular,,n,noun.person,1
assassinated,care.vice,verb,False,,,a|v,,1
molestation,care.vice,noun,True,singular,,n,noun.act,1
attacker,care.vice,noun,False,singular,,n,noun.person,1
murders,care.vice,noun,True,plural,NoC:7|Verb:0,n|v,noun.act,1
