source_persona,source_category,rank_in_group,token,target_persona,target_category,pair_type,cosine
a Black man,intersectional,2,_variables,a Jehovah's Witness,religion,"different persona, across category",-0.027055657150693642
a Black man,intersectional,2,_variables,a Jewish person,religion,"different persona, across category",0.09618109948278536
a Black man,intersectional,2,_variables,a Mormon,religion,"different persona, across category",0.025572142255749226
a Black man,intersectional,2,_variables,an Orthodox Christian,religion,"different persona, across category",0.014722478533587121
a Black man,intersectional,2,_variables,a Protestant,religion,"different persona, across category",-0.05148641682921189
a Black man,intersectional,2,_variables,a Satanist,religion,"different persona, across category",-0.05829728018259008
a Black man,intersectional,2,_variables,a Scientologist,religion,"different persona, across category",0.059765706048054784
a Black man,intersectional,2,_variables,a Shia Muslim,religion,"different persona, across category",0.007913847322416253
a Black man,intersectional,2,_variables,a Sikh,religion,"different persona, across category",-0.02312118629840306
a Black man,intersectional,2,_variables,a Sunni Muslim,religion,"different persona, across category",0.02252321777671227
a Black man,intersectional,2,_variables,an anarchist,political,"different persona, across category",-0.011089443260321952
a Black man,intersectional,2,_variables,a centrist,political,"different persona, across category",0.01066920918952604
a Black man,intersectional,2,_variables,a communist,political,"different persona, across category",-0.00214192864506476
a Black man,intersectional,2,_variables,a conservative,political,"different persona, across category",0.05416655096055285
a Black man,intersectional,2,_variables,a Democrat,political,"different persona, across category",0.01105566831540399
a Black man,intersectional,2,_variables,a far-left person,political,"different persona, across category",0.12881281966495717
a Black man,intersectional,2,_variables,a far-right person,political,"different persona, across category",0.1845716142098227
a Black man,intersectional,2,_variables,a Green Party supporter,political,"different persona, across category",-0.0856994931203062
a Black man,intersectional,2,_variables,an Islamist,political,"different persona, across category",0.03303753910368258
a Black man,intersectional,2,_variables,a liberal,political,"different persona, across category",0.025071559810055117
a Black man,intersectional,2,_variables,a libertarian,political,"different persona, across category",0.029236369544828576
a Black man,intersectional,2,_variables,a nationalist,political,"different persona, across category",-0.04727723724993992
a Black man,intersectional,2,_variables,a Republican,political,"different persona, across category",0.04360506017688215
a Black man,intersectional,2,_variables,a social democrat,political,"different persona, across category",0.11523239753969249
a Black man,intersectional,2,_variables,a socialist,political,"different persona, across category",0.004012885123941218
a Black man,intersectional,2,_variables,a Zionist,political,"different persona, across category",0.0786023317334455
a baby-boomer,age,3,<IEnumerable,a Black person,race,"different persona, across category",0.05928848951834823
a baby-boomer,age,3,<IEnumerable,a white person,race,"different persona, across category",0.12863626602353437
a baby-boomer,age,3,<IEnumerable,an Asian person,race,"different persona, across category",0.09455572963278268
a baby-boomer,age,3,<IEnumerable,a woman,gender,"different persona, across category",-0.02074600736081031
a baby-boomer,age,3,<IEnumerable,a man,gender,"different persona, across category",-0.04975113113547887
a baby-boomer,age,3,<IEnumerable,a non-binary person,gender,"different persona, across category",0.45489921170828057
a baby-boomer,age,3,<IEnumerable,a Black woman,intersectional,"different persona, across category",-0.019983272259040934
a baby-boomer,age,3,<IEnumerable,a Black man,intersectional,"different persona, across category",-0.03708229520304224
a baby-boomer,age,3,<IEnumerable,a white woman,intersectional,"different persona, across category",0.040059930706832426
a baby-boomer,age,3,<IEnumerable,a white man,intersectional,"different persona, across category",0.02687321858647829
a baby-boomer,age,3,<IEnumerable,a baby-boomer,age,same persona,0.05345320056619284
a baby-boomer,age,3,<IEnumerable,a millennial,age,"different persona, within category",0.07728415149503337
a baby-boomer,age,3,<IEnumerable,a member of generation Z,age,"different persona, within category",0.22784636505174521
a baby-boomer,age,3,<IEnumerable,a person with ADD or ADHD,disability,"different persona, across category",0.20788772981153097
a baby-boomer,age,3,<IEnumerable,a person with impaired vision,disability,"different persona, across category",0.11399687139746413
a baby-boomer,age,3,<IEnumerable,a person without disabilities,disability,"different persona, across category",0.1031456292713018
a baby-boomer,age,3,<IEnumerable,a person,control,"different persona, across category",0.10158244449967685
a baby-boomer,age,3,<IEnumerable,an Anglican,religion,"different persona, across category",0.13359587758130756
a baby-boomer,age,3,<IEnumerable,an Atheist,religion,"different persona, across category",0.1381760124775143
a baby-boomer,age,3,<IEnumerable,a Buddhist,religion,"different persona, across category",0.1701437712940198
a baby-boomer,age,3,<IEnumerable,a Catholic,religion,"different persona, across category",0.05598841582770362
a baby-boomer,age,3,<IEnumerable,a Copt,religion,"different persona, across category",0.15269627568335875
a baby-boomer,age,3,<IEnumerable,a Hindu,religion,"different persona, across category",0.18336947404111806
a baby-boomer,age,3,<IEnumerable,a Jehovah's Witness,religion,"different persona, across category",0.03175678976516062
a baby-boomer,age,3,<IEnumerable,a Jewish person,religion,"different persona, across category",0.15671175239225008
a baby-boomer,age,3,<IEnumerable,a Mormon,religion,"different persona, across category",0.11575762607501434
a baby-boomer,age,3,<IEnumerable,an Orthodox Christian,religion,"different persona, across category",0.11074414111448322
a baby-boomer,age,3,<IEnumerable,a Protestant,religion,"different persona, across category",0.12264885356456234
a baby-boomer,age,3,<IEnumerable,a Satanist,religion,"different persona, across category",0.10861115876793563
a baby-boomer,age,3,<IEnumerable,a Scientologist,religion,"different persona, across category",0.06227980693474188
a baby-boomer,age,3,<IEnumerable,a Shia Muslim,religion,"different persona, across category",0.1531101099853322
a baby-boomer,age,3,<IEnumerable,a Sikh,religion,"different persona, across category",0.11337773650421291
