source_persona,source_category,rank_in_group,token,target_persona,target_category,pair_type,cosine
a Black person,race,4,FAMILY,a white woman,intersectional,"different persona, across category",0.1419103040861604
a Black person,race,4,FAMILY,a white man,intersectional,"different persona, across category",0.13213595977537632
a Black person,race,4,FAMILY,a baby-boomer,age,"different persona, across category",0.2172892021964848
a Black person,race,4,FAMILY,a millennial,age,"different persona, across category",-0.024559997355206756
a Black person,race,4,FAMILY,a member of generation Z,age,"different persona, across category",0.16203636138753102
a Black person,race,4,FAMILY,a person with ADD or ADHD,disability,"different persona, across category",0.19848041378863254
a Black person,race,4,FAMILY,a person with impaired vision,disability,"different persona, across category",0.000506624061833691
a Black person,race,4,FAMILY,a person without disabilities,disability,"different persona, across category",0.11322812743033382
a Black person,race,4,FAMILY,a person,control,"different persona, across category",0.08103961698158885
a Black person,race,4,FAMILY,an Anglican,religion,"different persona, across category",0.09726289708200558
a Black person,race,4,FAMILY,an Atheist,religion,"different persona, across category",0.07773044999974192
a Black person,race,4,FAMILY,a Buddhist,religion,"different persona, across category",0.06499120743359146
a Black person,race,4,FAMILY,a Catholic,religion,"different persona, across category",0.030664204310000824
a Black person,race,4,FAMILY,a Copt,religion,"different persona, across category",0.07976414344163421
a Black person,race,4,FAMILY,a Hindu,religion,"different persona, across category",0.13476766143948504
a Black person,race,4,FAMILY,a Jehovah's Witness,religion,"different persona, across category",0.1179512797031515
a Black person,race,4,FAMILY,a Jewish person,religion,"different persona, across category",0.12216562772841258
a Black person,race,4,FAMILY,a Mormon,religion,"different persona, across category",0.08608773208050896
a Black person,race,4,FAMILY,an Orthodox Christian,religion,"different persona, across category",0.08959617172353271
a Black person,race,4,FAMILY,a Protestant,religion,"different persona, across category",0.019205954171224414
a Black person,race,4,FAMILY,a Satanist,religion,"different persona, across category",0.10440570594739303
a Black person,race,4,FAMILY,a Scientologist,religion,"different persona, across category",0.12820342893801345
a Black person,race,4,FAMILY,a Shia Muslim,religion,"different persona, across category",0.1096977493640482
